Course ID,Course Name,Unit,Level,Avg Star,Review Number,Result
IBM Data Science Professional Certificate,IBM Data Science Professional Certificate,IBM,,4.6,70062,"Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles
Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL
Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines
Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers"
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,,4.6,35605,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Google Data Analytics Professional Certificate,Google Data Analytics Professional Certificate,Google,,4.8,134797,"Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job
Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) 
Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programming
Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms"
What is Data Science?,What is Data Science?,IBM,,4.7,68473,"Define data science and its importance in today’s data-driven world.
Describe the various paths that can lead to a career in data science.
 Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.
Explain why data science is considered the most in-demand job in the 21st century. "
Data Science Specialization,Data Science Specialization,Johns Hopkins University,,4.5,38658,"Use R to clean, analyze, and visualize data.
Navigate the entire data science pipeline from data acquisition to publication. 
Use GitHub to manage data science projects.
Perform regression analysis, least squares and inference using regression models."
Foundations of Data Science,Foundations of Data Science,Google,,4.7,1780,"Understand common careers and industries that use advanced data analytics
Investigate the impact data analysis can have on decision-making
Explain how data professionals preserve data privacy and ethics 
Develop a project plan considering roles and responsibilities of team members"
Introduction to Data Analytics,Introduction to Data Analytics,IBM,,4.8,14751,"Explain what Data Analytics is and the key steps in the Data Analytics process
Differentiate between different data roles such as Data Engineer, Data Analyst, Data Scientist, Business Analyst, and Business Intelligence Analyst
Describe the different types of data structures, file formats, and sources of data
Describe the data analysis process involving collecting, wrangling, mining, and visualizing data"
Applied Data Science with Python Specialization,Applied Data Science with Python Specialization,University of Michigan,,4.5,25956,"Conduct an inferential statistical analysis
Discern whether a data visualization is good or bad
Enhance a data analysis with applied machine learning
Analyze the connectivity of a social network"
Introduction to Data Science Specialization,Introduction to Data Science Specialization,IBM,,4.7,12475,"Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  
Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio 
Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems
Write SQL statements and query Cloud databases using Python from Jupyter notebooks"
Python Project for Data Science,Python Project for Data Science,IBM,,4.5,4004,"Play the role of a Data Scientist / Data Analyst working on a real project.
Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. 
Apply Python fundamentals, Python data structures, and working with data in Python.
Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook."
Databases and SQL for Data Science with Python,Databases and SQL for Data Science with Python,IBM,,4.6,19451,"Analyze data within a database using SQL and Python.
Create a relational database and work with multiple tables using DDL commands. 
Construct basic to intermediate level SQL queries using DML commands. 
Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. "
Google Advanced Data Analytics Professional Certificate,Google Advanced Data Analytics Professional Certificate,Google,,4.8,2667,"Explore the roles of data professionals within an organization 
Create data visualizations and apply statistical methods to investigate data
Build regression and machine learning models to analyze and interpret data
Communicate insights from data analysis to stakeholders"
IBM Data Analyst Professional Certificate,IBM Data Analyst Professional Certificate,IBM,,4.7,17648,"Master the most up-to-date practical skills and tools that data analysts use in their daily roles
Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau
Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services 
Gain technical experience through hands on labs and projects and build a portfolio to showcase your work"
Data Science Methodology,Data Science Methodology,IBM,,4.6,19990,"Describe what a data science methodology is and why data scientists need a methodology.
Apply the six stages in the Cross-Industry Process for Data Mining (CRISP-DM) methodology to analyze a case study.
Evaluate which analytic model is appropriate among predictive, descriptive, and classification models used to analyze a case study.
Determine appropriate data sources for your data science analysis methodology."
Executive Data Science Specialization,Executive Data Science Specialization,Johns Hopkins University,,4.5,7161,"Become conversant in the field and understand your role as a leader.
Recruit, assemble, evaluate, and develop a team with complementary skill sets and roles.
Navigate the structure of the data science pipeline by understanding the goals of each stage and keeping your team on target throughout.
Overcome the common challenges that frequently derail data science projects."
Genomic Data Science Specialization,Genomic Data Science Specialization,Johns Hopkins University,,4.4,5461,"Next generation sequencing experiments
Genomic technologies
DNA, RNA and epigenetic patterns
Genome analysis"
Applied Data Science Specialization,Applied Data Science Specialization,IBM,,4.7,7451,"Develop an understanding of Python fundamentals
Gain practical Python skills and apply them to data analysis
Communicate data insights effectively through data visualizations
Create a project demonstrating your understanding of applied data science techniques and tools"
A Crash Course in Data Science,A Crash Course in Data Science,Johns Hopkins University,,4.5,8143,"Describe Data Science’s role in various contexts
Understand how Statistics and Machine Learning affect Data Science
Use the key terms used by data scientist
Predict whether a Data Science project will be successful"
Data Science Fundamentals with Python and SQL Specialization,Data Science Fundamentals with Python and SQL Specialization,IBM,,4.6,2668,"Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio
Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy
Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression
Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables"
SQL for Data Science,SQL for Data Science,"University of California, Davis",,4.6,16083,"Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.
Use SQL commands to filter, sort, and summarize data.
Create an analysis table from multiple queries using the UNION operator.
Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis."
Fractal Data Science Professional Certificate,Fractal Data Science Professional Certificate,Fractal Analytics,,4.7,71," Apply structured problem-solving techniques to dissect and address complex data-related challenges encountered in real-world scenarios.   
Utilize SQL proficiency to retrieve, manipulate data and employ data visualization skills using Power BI to communicate insights.
Apply Python expertise for data manipulation, analysis and implement machine learning algorithms to create predictive models for applications.
Create compelling data stories to influence your audience and master the art of critically analyzing data while making decisions and recommendations."
Data Analysis with Python,Data Analysis with Python,IBM,,4.7,17823,"Develop Python code for cleaning and preparing data for analysis - including handling missing values, formatting, normalizing, and binning data
Perform exploratory data analysis and apply analytical techniques to real-word datasets using libraries such as Pandas, Numpy and Scipy
Manipulate data using dataframes, summarize data, understand data distribution, perform correlation and create data pipelines
Build and evaluate regression models using machine learning scikit-learn library and use them for prediction and decision making"
Applied Data Science Capstone,Applied Data Science Capstone,IBM,,4.7,7010,"Demonstrate proficiency in data science and machine learning techniques using a real-world data set and prepare a report for stakeholders   
Apply your skills to perform data collection, data wrangling, exploratory data analysis, data visualization model development, and model evaluation
Write Python code to create machine learning models including support vector machines, decision tree classifiers, and k-nearest neighbors  
Evaluate the results of machine learning models for predictive analysis, compare their strengths and weaknesses and identify the optimal model   "
Excel Basics for Data Analysis,Excel Basics for Data Analysis,IBM,,4.8,7482,"Display working knowledge of Excel for Data Analysis.
Perform basic spreadsheet tasks including navigation, data entry, and using formulas.
Employ data quality techniques to import and clean data in Excel.
Analyze data in spreadsheets by using filter, sort, look-up functions, as well as pivot tables."
Introduction to Data Science in Python,Introduction to Data Science in Python,University of Michigan,,4.5,26926,"Understand techniques such as lambdas and manipulating csv files
Describe common Python functionality and features used for data science
Query DataFrame structures for cleaning and processing
Explain distributions, sampling, and t-tests"
Learn SQL Basics for Data Science Specialization,Learn SQL Basics for Data Science Specialization,"University of California, Davis",,4.5,9962,"Use SQL commands to filter, sort, & summarize data; manipulate strings, dates, & numerical data from different sources for analysis
Assess and create datasets to solve your business questions and problems using SQL
Use the collaborative Databricks workspace and create an end-to-end pipeline that reads data, transforms it, and saves the result
Develop a project proposal & select your data, perform statistical analysis & develop metrics, and present your findings & make recommendations"
Data Science: Foundations using R Specialization,Data Science: Foundations using R Specialization,Johns Hopkins University,,4.6,6009,"Use R to clean, analyze, and visualize data.
Learn how to ask the right questions, obtain data, and perform reproducible research.
Use GitHub to manage data science projects."
Data Science: Statistics and Machine Learning Specialization,Data Science: Statistics and Machine Learning Specialization,Johns Hopkins University,,4.6,593,"Perform regression analysis, least squares and inference using regression models.
Build and apply prediction functions
Develop public data products"
Data Science with Databricks for Data Analysts Specialization,Data Science with Databricks for Data Analysts Specialization,Databricks,,4.4,459,"Discover how Databricks and Apache Spark simplify big data processing and optimize data analysis. 
Frame business problems for data science and machine learning to make the most out of big data analytic workflows.
Solve real-world business problems quickly using Databricks to power the most popular data science techniques. "
Generative AI for Data Scientists Specialization,Generative AI for Data Scientists Specialization,IBM,,4.7,96,"Apply skills to recognize real-world generative AI uses and identify popular generative AI models and tools for text, code, image, audio, and video
Understand generative AI prompt engineering concepts, examples, and common tools and learn techniques to create effective, impactful prompts
Learn how to identify appropriate generative AI tools for data science use cases
Apply generative AI prompt techniques to generate and augment datasets and to develop and refine machine learning models"
The Power of Statistics,The Power of Statistics,Google,,4.8,467,"Explore and summarize a dataset 
Use probability distributions to model data
Conduct a hypothesis test to identify insights about data
Perform statistical analyses using Python "
Google Business Intelligence Professional Certificate,Google Business Intelligence Professional Certificate,Google,,4.7,1279,"Explore the roles of business intelligence (BI) professionals within an organization
Practice data modeling and extract, transform, load (ETL) processes that meet organizational goals 
Design data visualizations that answer business questions
Create dashboards that effectively communicate data insights to stakeholders"
CertNexus Certified Data Science Practitioner Professional Certificate,CertNexus Certified Data Science Practitioner Professional Certificate,CertNexus,,4.7,39,"Resume review
Improve your resume and LinkedIn with personalized feedback
Interview prep
Practice your skills with interactive tools and mock interviews
Career support
Plan your career move with Coursera's job search guide"
Tools for Data Science,Tools for Data Science,IBM,,4.5,28315,"Describe the Data Scientist’s tool kit which includes: Libraries & Packages, Data sets, Machine learning models, and Big Data tools   
Utilize languages commonly used by data scientists like Python, R, and SQL   
Demonstrate working knowledge of tools such as Jupyter notebooks and RStudio and utilize their various features    
Create and manage source code for data science using Git repositories and GitHub.   "
