,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
0,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Ashish B,"Mar 30, 2020",I am new to Machine Learning. The Course started pretty well. But as it advanced I didn't understand what we were doing. Just kept following the instruction and completed the course but couldn't understand much towarsds the end,3
1,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Nguyen D T T,"Jul 20, 2020",It is too short and just covers the most basic things. It would be better if the instructor makes another project with the same topic to go deeper on how to optimize the model to get a better result.,3
2,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,dharwada r,"May 25, 2020","Course duration is very short, need more practice to understand the concepts",3
3,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,RASHI G I L S,"May 21, 2020",concepts wasn't explained much,3
4,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,YOGENDRA P B 1,"Jun 21, 2020","This was a good project, if you know python, it can be completed in an hour. My only complain is though, i did not learn how to use TensorFlow as much i wanted to.  It just looked like any other ML project.",4
5,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Divij K J,"Jul 4, 2020","Used pre-built packages, did not explain them. Thus, it felt like a shortcut.",2
6,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,ANIL V,"Jun 6, 2020","Focus is more on Pandas and very basic machine learning. Not at all focus in explaining tensor flow or any parameters. Instructor is not explaining why he is doing anything.
Not recommended.",1
7,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,EBIKESEYE A,"Apr 5, 2020","This was indeed a very good course and my advice to everyone who want go into real estate, you should try this course and you will learn a lot of experience from it . I finally got to finish it and I feel accomplished.",5
8,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Zac R,"Mar 15, 2020",The interactive Rhyme experience using python and tensorflow was seamless and made it easy to follow along with the instruction by entering code.  Liked that the course could be completed in under 2 hours.,5
9,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Aravindhan A,"Sep 20, 2020",You should have some basic understanding of Linear Regression and Libraries being used to get complete use of this project. The instructor done a very good job in explaining the things he have done.,5
10,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,UTKARSH D,"Jun 10, 2020","Sir is very good in what to deliver to the student in better manner.At the end of project able to know more about various libraries,function which is helpful in various projects related to CS,IT.",5
